Sku.                              Description                                size                                       price
90030000EKS4-409. King sleigh Bed            68.25x81.75x95                            999.00
9003040-409             night stand                   29.25 x 27.75 x 19.75                  469.00
9003050-409             dresser                          36.25 x 70.75 x 20                        999.00
9003260-409              Mirror                         34.75 x 50.25 x 1.75                      199.00
9003068-409              desk                             30.25 x 60.25 x 21                         749.00
9003244-409.        Vanity desk chair           37.75 x 23. 25 x 30                         275.00
9003070-409.        6 drawer dresser           60 hx44.25 x 19.25                        999.00
9003904-409            bed bench                   20.75 x 56.25 x 16 .25                    309.00
90030000-409.      Dining room table 2 leaves    30.25x122x44.                      999.00
9003003A-409.     SIDE  chairs.      6 needed 39.75 x 24 x 27.25.                    1,374.00
9003004A-409       ARM chairs.     2 needed 39.75 x24 x 27.25                         498.00
9003007-409         Sideboard                          35.25 x 72.25 x 18.25.                  999.00
9003201-409        oval cocktail table             18.25 x 54.25 x 30.75                   499.00
9003224-409.       Round accent table           25 x 21 x 21                                   359.00
9003815-trufl-409.  Sofa                                  99 x 35 x 35                                1099.00
9003835-trufl-409   matching chair               35 x 36 x 34                                   529.00
9003841- oystr-409 armless chaise               69.5x 31.5x 34.                             789.00
