Variant SKU	Handle	Title	Intro	Color	Material	Finish	Width	Depth	Height	Weight	Features	Base Price	Image	Barcode
700810023-5060	beautyrest-black-mini-waterfall-foundation	BRB MINI-WATERFALL FDN, King	n/a	n/a	n/a	n/a	76	80	9	n/a	n/a	n/a	n/a	889152451195
700810023-5050	beautyrest-black-mini-waterfall-foundation	BRB MINI-WATERFALL FDN, Queen	n/a	n/a	n/a	n/a	60	80	9	n/a	n/a	n/a	n/a	889152451171
700810023-5030	beautyrest-black-mini-waterfall-foundation	BRB MINI-WATERFALL FDN, Full	n/a	n/a	n/a	n/a	53	75	9	n/a	n/a	n/a	n/a	889152451164
700810023-5020	beautyrest-black-mini-waterfall-foundation	BRB MINI-WATERFALL FDN, Twin XL	n/a	n/a	n/a	n/a	38	80	9	n/a	n/a	n/a	n/a	889152451157
700810018-1060	beautyrest-black-mattress	BRB C-CLASS MED PT, King	n/a	n/a	n/a	n/a	76	80	16	n/a	n/a	n/a	n/a	889152451874
700810018-1050	beautyrest-black-mattress	BRB C-CLASS MED PT, Queen	n/a	n/a	n/a	n/a	60	80	16	n/a	n/a	n/a	n/a	889152451867
700810018-1030	beautyrest-black-mattress	BRB C-CLASS MED PT, Full	n/a	n/a	n/a	n/a	53	75	16	n/a	n/a	n/a	n/a	889152451850
700810018-1020	beautyrest-black-mattress	BRB C-CLASS MED PT, Twin XL	n/a	n/a	n/a	n/a	38	80	16	n/a	n/a	n/a	n/a	889152451843
700810016-1060	beautyrest-black-mattress	BRB C-CLASS MEDIUM, King	n/a	n/a	n/a	n/a	76	80	13.75	n/a	n/a	n/a	n/a	889152451751
700810016-1050	beautyrest-black-mattress	BRB C-CLASS MEDIUM, Queen	n/a	n/a	n/a	n/a	60	80	13.75	n/a	n/a	n/a	n/a	889152451744
700810016-1030	beautyrest-black-mattress	BRB C-CLASS MEDIUM, Full	n/a	n/a	n/a	n/a	53	75	13.75	n/a	n/a	n/a	n/a	889152451737
700810016-1020	beautyrest-black-mattress	BRB C-CLASS MEDIUM, Twin XL	n/a	n/a	n/a	n/a	38	80	13.75	n/a	n/a	n/a	n/a	889152451720
700810012-1060	beautyrest-black-mattress	BRB L-CLASS EX FM, King	n/a	n/a	n/a	n/a	76	80	13.75	n/a	n/a	n/a	n/a	889152451515
700810012-1050	beautyrest-black-mattress	BRB L-CLASS EX FM, Queen	n/a	n/a	n/a	n/a	60	80	13.75	n/a	n/a	n/a	n/a	889152451508
700810012-1030	beautyrest-black-mattress	BRB L-CLASS EX FM, Full	n/a	n/a	n/a	n/a	53	75	13.75	n/a	n/a	n/a	n/a	889152451492
700810012-1020	beautyrest-black-mattress	BRB L-CLASS EX FM, Twin XL	n/a	n/a	n/a	n/a	38	80	13.75	n/a	n/a	n/a	n/a	889152451485
700810010-1060	beautyrest-black-mattress	BRB L-CLASS PL, King	n/a	n/a	n/a	n/a	76	80	14	n/a	n/a	n/a	n/a	889152451454
700810010-1050	beautyrest-black-mattress	BRB L-CLASS PL, Queen	n/a	n/a	n/a	n/a	60	80	14	n/a	n/a	n/a	n/a	889152451447
700810010-1030	beautyrest-black-mattress	BRB L-CLASS PL, Full	n/a	n/a	n/a	n/a	53	75	14	n/a	n/a	n/a	n/a	889152451430
700810010-1020	beautyrest-black-mattress	BRB L-CLASS PL, Twin XL	n/a	n/a	n/a	n/a	38	80	14	n/a	n/a	n/a	n/a	889152451423
700754860-7566	beautyrest-black-advanced-motion-base	Advanced Motion Adj. Base, Divided King	n/a	n/a	n/a	n/a	76	80	4	n/a	n/a	n/a	n/a	889152462672
700754860-7550	beautyrest-black-advanced-motion-base	Advanced Motion Adj. Base, Queen	n/a	n/a	n/a	n/a	60	80	4	n/a	n/a	n/a	n/a	889152462658
700754860-7520	beautyrest-black-advanced-motion-base	Advanced Motion Adj. Base, Twin XL	n/a	n/a	n/a	n/a	38	80	4	n/a	n/a	n/a	n/a	889152462641
