SKU	Handle	Title	Intro	Colors	Material	Finish	W	D	H	Weight	Features
102671	caroline-dining-table	dining table with 18" ex;t leaf,f/espresso	n/a	n/a	n/a	n/a	42	60	30.5	110.67	n/a
102672	caroline-dining-chair	dining chair, espresso	n/a	n/a	n/a	n/a	18	21	38.25	41.44	n/a
501691	samuel-sofa	sofa, cream	n/a	n/a	n/a	n/a	85	38	36	118.58	n/a
501692	samuel-loveseat	loveseat, cream	n/a	n/a	n/a	n/a	67.5	38	36	97.24	n/a
511031	baby-natalia-collection-sofa	sofa, dove grey	n/a	n/a	n/a	n/a	80	35	39	105.6	n/a
511032	baby-natalia-collection-loveseat	loveseat, dove grey	n/a	n/a	n/a	n/a	63	35	39	88	n/a
601711	cassandra-reclining-sofa	motion sofa, dark brown	n/a	n/a	n/a	n/a	87	41	42	186.00999	n/a
601712	cassandra-reclining-loveseat	glider loveseat, dark br;n	n/a	n/a	n/a	n/a	72.75	41	42	176	n/a
601741P	delange-motion-collection-sofa	power2 sofa, black	n/a	n/a	n/a	n/a	85	40.25	41.75	292.60001	n/a
601742P	delange-motion-collection-loveseat	power2 loveseat, black	n/a	n/a	n/a	n/a	73.25	40.25	41.75	257.39999	n/a
603331PP	hemer-motion-sofa	power2 sofa, chocolate	n/a	n/a	n/a	n/a	86	37.5	43.5	248.60001	n/a
603332PP	hemer-motion-loveseat	power2 loveseat, choco	n/a	n/a	n/a	n/a	75	37.5	43.5	225.5	n/a
603341PP	hemer-motion-sofa	power2 sofa, dk grey	n/a	n/a	n/a	n/a	86	37.5	43.5	248.60001	n/a
603342PP	hemer-motion-loveseat	power2 loveseat, drk gre;y	n/a	n/a	n/a	n/a	75	37.5	43.5	225.5	n/a
603343PP	hemer-recliner	power2 gldr rclnr, dk gr;y	n/a	n/a	n/a	n/a	41	37.5	43.5	123.2	n/a
603364PP	dundee-motion-collection-sofa	power2 sofa, navy blue	n/a	n/a	n/a	n/a	87	41.5	41	249.7	n/a
603365PP	dundee-motion-collection-loveseat	power2 loveseat, nvy blue	n/a	n/a	n/a	n/a	77	41.5	41	228.8	n/a
650211PP	scranton-motion-collection-sofa	power2 sofa, dark brown	n/a	n/a	n/a	n/a	81	38	39	235.39999	n/a
650212PP	scranton-motion-collection-loveseat	power2 loveseat, dark br;n	n/a	n/a	n/a	n/a	64	38	39	206.8	n/a
650221P	stanford-motion-collection-sofa	power sofa, charcoal	n/a	n/a	n/a	n/a	90	41	40	237.60001	n/a
650222P	stanford-motion-collection-loveseat	power loveseat, charcoal	n/a	n/a	n/a	n/a	79	41	40	211.2	n/a
