Variant SKU	Handle	Color Description	Material	Finish	Width	Depth	Height
VICTORIA-KB	gabe-bed	RUSTIC OAK	Rubber Wood	n/a	91	80	56
VICTORIA-QB	gabe-bed	RUSTIC OAK	Rubber Wood	n/a	91	64	56
VICTORIA-CH	gabe-chest	RUSTIC OAK	Rubber Wood	n/a	38	18	50
VICTORIA-D	gabe-dresser	RUSTIC OAK	Rubber Wood	n/a	62	18	40
VICTORIA-M 	gabe-mirror	RUSTIC OAK	Rubber Wood	n/a	45	1	39
VICTORIA-NS	gabe-nightstand	RUSTIC OAK	Rubber Wood 	n/a	26	18	26
LINDA-BL-FB (M) 	gabriel-bed	Black	Chip Board, MDF, Plywood, Veneer	n/a	87	57	56
LINDA-BL-KB (M)	gabriel-bed	Black	Chip Board, MDF, Plywood, Veneer	n/a	93	78	56
LINDA-BL-QB (M)	gabriel-bed	Black	Chip Board, MDF, Plywood, Veneer	n/a	93	63	56
LINDA-M-FB (M)	gabriel-bed	Merlot	Chip Board, MDF, Plywood, Veneer	n/a	87	57	56
LINDA-M-KB (M)	gabriel-bed	Merlot	Chip Board, MDF, Plywood, Veneer	n/a	79	93	56
LINDA-M-QB (M) 	gabriel-bed	Merlot	Chip Board, MDF, Plywood, Veneer	n/a	93	63	56
LINDA(FD0011B)-BL-CH (M)	gabriel-chest	Black	Chip Board, MDF, Plywood, Veneer	n/a	32	17	48
LINDA(FD0011B)-CH (M)	gabriel-chest	n/a	Chip Board, MDF, Plywood, Veneer	n/a	32	17	48
LINDA(FD0011B)-BL-D (M) 	gabriel-dresser	Black	Chip Board, MDF, Plywood, Veneer	n/a	59	17	41
LINDA(FD0011B)-D (M) 	gabriel-dresser	n/a	Chip Board, MDF, Plywood, Veneer	n/a	59	17	41
LINDA(FD0011A)-BL-M (M)	gabriel-mirror	Black	Chip Board, MDF, Plywood, Veneer	n/a	39	1	35
LINDA(FD0011A)-M (M)	gabriel-mirror	n/a	Chip Board, MDF, Plywood, Veneer	n/a	39	1	35
LINDA(FD0011B)-BL-NS (M)	gabriel-nightstand	Black	Chip Board, MDF, Plywood, Veneer	n/a	26	17	25
LINDA(FD0011B)-NS (M)	gabriel-nightstand	n/a	Chip Board, MDF, Plywood, Veneer	n/a	26	17	25
SONIA-BL-FB	gadiel-bed	Black	Solid wood with finger joint /No Veneer	n/a	80	56.5	62
SONIA-BL-KB	gadiel-bed	Black	Solid wood with finger joint /No Veneer	n/a	86	79	62
SONIA-BL-QB	gadiel-bed	Black	Solid wood with finger joint /No Veneer	n/a	86	63	62
SONIA-BLACK-CH W/ TR GLITTER-AL	gadiel-chest	METALLIC BLK 	Solid wood with finger joint /No Veneer	n/a	33	16.5	49
SONIA-BLACK-DR-TR GLITTER-AL	gadiel-dresser	METALLIC BLK 	Solid wood with finger joint /No Veneer	n/a	62	16.5	34.5
SONIA-BLACK-M W/LED	gadiel-mirror	METALLIC BLK 	Solid wood with finger joint /No Veneer	n/a	42.5	1.5	41
SONIA-BLACK-NS W/ TR GLITTER-AL	gadiel-nightstand	METALLIC BLK 	Solid wood with finger joint /No Veneer	n/a	25.5	16.5	29.5
MIRROR-CHOC-FB "STORAGE"	gage-bed	CHOCOLATE	MDF, SPECIAL PARTICLE BOARD, POPLAR LVL SLATS 	n/a	n/a	n/a	n/a
MIRROR-CHOC-KB "STORAGE"	gage-bed	CHOCOLATE	MDF, SPECIAL PARTICLE BOARD, POPLAR LVL SLATS 	n/a	86	79	62
MIRROR-CHOC-QB "STORAGE"	gage-bed	CHOCOLATE	MDF, SPECIAL PARTICLE BOARD, POPLAR LVL SLATS 	n/a	86	63	62
