Variant SKU	Handle	Color	Material	Finish	Width	Depth	Height
D1446BS - BL	gamaliel-counter-height-stool	BLACK PU	PU, Foam, Plywood, Chrome Legs 	n/a	21	19	40
D1446BS - GR	gamaliel-counter-height-stool	GREY PU	PU, Foam, Plywood, Chrome Legs 	n/a	21	19	40
D1446BS - R	gamaliel-counter-height-stool	RED PU	PU, Foam, Plywood, Chrome Legs 	n/a	21	19	40
D1446BS - WH	gamaliel-counter-height-stool	WHITE PU	PU, Foam, Plywood, Chrome Legs 	n/a	21	19	40
D915BS-BLK	garrick-counter-height-stool	BLACK	n/a	n/a	20	16	40
D915BS-GRY	garrick-counter-height-stool	GREY	n/a	n/a	20	16	40
D915BS-WHT	garrick-counter-height-stool	WHITE	n/a	n/a	20	16	40
D705BS	gaspar-counter-height-stool	METALLIC GREY 	SHINING GREY-PB5183 & FOAM	n/a	22.5	18	43
D368BS 	geronimo-counter-height-stool	BLACK	PU, Sponge, Plywood	n/a	20	16	43
D9002BS-BLK 	gianluca-counter-height-stool	BLACK	PU, Sponge, Iron	n/a	19	18	37
D9002BS-WHT	gianluca-counter-height-stool	WHITE	 PU, Sponge, Iron	n/a	19	18	37
D7035BS	giuliano-counter-height-stool	WALA ESPRESSO	PU, FOAM, MDF	n/a	19	25	41
D4126BS	gohan-counter-height-stool	BROWN PU WITH CAPPUCCINO TRIM	n/a	n/a	20	17.5	39.5
D4041BS-GREY PU	gotham-counter-height-stool	METALLIC GREY PU	GREY PU, FOAM	n/a	23	17.5	41.5
