"ID","Handle","Command","Title","Vendor","Type","Tags","Tags Command","Variant Price","Variant Compare At Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value"
"4417443987546","allura-night-stand","UPDATE","Allura Night Stand","HomeElegance-Dropped","DISCONTINUED","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","499.99","","shopify","0","32965244846170","31408359112794","MERGE","Title","Default Title","","","",""
"4417427800154","allura-bed","UPDATE","Allura Bed","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","1099.99","","shopify","0","32965143658586","31408265134170","MERGE","Size","King","Color","White","",""
"4417427800154","allura-bed","UPDATE","Allura Bed","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","899.99","","shopify","0","32965143724122","31408265199706","MERGE","Size","Queen","Color","White","",""
"4417438056538","allura-dresser","UPDATE","Allura Dresser","HomeElegance-Dropped","DISCONTINUED","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","899.99","","shopify","0","32965222236250","31408337616986","MERGE","Title","Default Title","","","",""
"4417441759322","allura-chest","UPDATE","Allura Chest","HomeElegance-Dropped","DISCONTINUED","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","799.99","","shopify","0","32965232590938","31408347840602","MERGE","Title","Default Title","","","",""
"4417451229274","allura-vanity","UPDATE","Allura Vanity","HomeElegance-Dropped","DISCONTINUED","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","1399.99","","shopify","0","32965287936090","31408396435546","MERGE","Title","Default Title","","","",""
"4417446445146","allura-mirror","UPDATE","Allura Mirror","HomeElegance-Dropped","DISCONTINUED","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","399.99","","shopify","0","32965256642650","31408369336410","MERGE","Title","Default Title","","","",""
"4417458896986","allura-bedroom-set","UPDATE","Allura BedRoom Set","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","3399.99","","shopify","0","32965333123162","31408440115290","MERGE","Size","King","Configuration","Bed + Dresser + Mirror + 2 Nightstands","",""
"4417458896986","allura-bedroom-set","UPDATE","Allura BedRoom Set","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","3199.99","","shopify","0","32965333155930","31408440148058","MERGE","Size","Queen","Configuration","Bed + Dresser + Mirror + 2 Nightstands","",""
"4417475346522","ingrando-bed","UPDATE","Ingrando Bed","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","1799.99","","shopify","0","32965430345818","31408527179866","MERGE","Size","King","Color","Brown","",""
"4417475346522","ingrando-bed","UPDATE","Ingrando Bed","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","1399.99","","shopify","0","32965430378586","31408527212634","MERGE","Size","Queen","Color","Brown","",""
"4417482522714","ingrando-dresser","UPDATE","Ingrando Dresser","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","999.99","","shopify","0","32965465735258","31408558800986","MERGE","Title","Default Title","","","",""
"4417488420954","ingrando-nightstand","UPDATE","Ingrando Nightstand","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","499.99","","shopify","0","32965492539482","31408581836890","MERGE","Title","Default Title","","","",""
"4417485537370","ingrando-mirror","UPDATE","Ingrando Mirror","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","399.99","","shopify","0","32965478383706","31408568860762","MERGE","Title","Default Title","","","",""
"4417495892058","ingrando-bedroom-set","UPDATE","Ingrando Bedroom Set","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","4199.99","","shopify","0","32965525438554","31408612343898","MERGE","Size","King","Configuration","Bed + Dresser + Mirror +2 Nightstands","",""
"4417495892058","ingrando-bedroom-set","UPDATE","Ingrando Bedroom Set","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","3899.99","","shopify","0","32965525471322","31408612376666","MERGE","Size","Queen","Configuration","Bed + Dresser + Mirror +2 Nightstands","",""
"4417561821274","ellsmere-bed","UPDATE","Ellsmere Bed","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","1699.99","","shopify","0","32965734695002","31408799678554","MERGE","Size","King","Color","White","",""
"4417561821274","ellsmere-bed","UPDATE","Ellsmere Bed","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","1299.99","","shopify","0","32965734727770","31408799711322","MERGE","Size","Queen","Color","White","",""
"4417569423450","ellsmere-dresser","UPDATE","Ellsmere Dresser","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","1299.99","","shopify","0","32965764448346","31408824516698","MERGE","Title","Default Title","","","",""
"4417573519450","ellsmere-nightstand","UPDATE","Ellsmere Nightstand","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","799.99","","shopify","0","32965770838106","31408830677082","MERGE","Title","Default Title","","","",""
"4417576960090","ellsmere-mirror","UPDATE","Ellsmere Mirror","HomeElegance-Dropped","DISCONTINUED","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-1, discontinued-day of week-Saturday","REPLACE","499.99","","shopify","0","32965785878618","31408844472410","MERGE","Title","Default Title","","","",""
