"ID","Handle","Command","Title","Body HTML","Vendor","Type","Tags","Tags Command","Created At","Updated At","Published","Published At","Published Scope","Template Suffix","URL","Row #","Top Row","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Cost","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Inventory Qty","Variant Inventory Adjust"
"4417443987546","allura-night-stand","UPDATE","Allura Night Stand","<p>Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that<br>enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of<br>the nightstand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black<br>finish of the collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>31""W x 18""D x 30""H</p>","HomeElegance","nightstands","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:46:56-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:46:56-05:00","global","","https://www.jenniferfurniture.com/products/allura-night-stand","1","true","32965244846170","31408359112794","MERGE","Title","Default Title","","","","","1","1916-4-NT","","","3.0","g","299.99","499.99","","true","","","deny","manual","true","",""
"4417427800154","allura-bed","UPDATE","Allura Bed","<p>Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that<br>enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of<br>the nightstand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black<br>finish of the collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>King - 84""W x 85""D x 43""H</p>
<p>Queen - 65""W x 85""D x 43""H</p>","HomeElegance","beds","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:39:32-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:39:32-05:00","global","","https://www.jenniferfurniture.com/products/allura-bed","2","true","32965143658586","31408265134170","MERGE","Size","King","Color","White","","","1","1916K-1-HB 1916K21-FB 1916K-3-RA","","","3.0","g","899.99","1099.99","","true","","","deny","manual","true","",""
"4417427800154","allura-bed","UPDATE","Allura Bed","","HomeElegance","beds","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:39:32-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:39:32-05:00","global","","https://www.jenniferfurniture.com/products/allura-bed","3","","32965143724122","31408265199706","MERGE","Size","Queen","Color","White","","","3","1916-1-BH 1916-2-FB 1916-3-RA","","","3.0","g","699.99","899.99","","true","","","deny","manual","true","",""
"4417438056538","allura-dresser","UPDATE","Allura Dresser","<p>Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that<br>enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of<br>the nightstand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black<br>finish of the collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>67""W x 20""D x 40""H</p>","HomeElegance","dressers","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:44:12-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:44:12-05:00","global","","https://www.jenniferfurniture.com/products/allura-dresser","4","true","32965222236250","31408337616986","MERGE","Title","Default Title","","","","","1","1916-5-DR","","","3.0","g","699.99","899.99","","true","","","deny","manual","true","",""
"4417441759322","allura-chest","UPDATE","Allura Chest","<p>Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that<br>enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of<br>the nightstand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black<br>finish of the collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>42""W x 19""D x 54""H</p>","HomeElegance","chests","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:45:57-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:45:57-05:00","global","","https://www.jenniferfurniture.com/products/allura-chest","5","true","32965232590938","31408347840602","MERGE","Title","Default Title","","","","","1","1916-9-CT","","","3.0","g","599.99","799.99","","true","","","deny","manual","true","",""
"4417451229274","allura-vanity","UPDATE","Allura Vanity","<p>Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that<br>enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of<br>the nightstand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black<br>finish of the collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>64""W x 16""D x 66""H</p>","HomeElegance","dressers","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:50:08-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:50:08-05:00","global","","https://www.jenniferfurniture.com/products/allura-vanity","6","true","32965287936090","31408396435546","MERGE","Title","Default Title","","","","","1","1916-14-ST 1916-15L-V 1916-15MI 1916-15R-V","","","3.0","g","999.99","1399.99","","true","","","deny","manual","true","",""
"4417446445146","allura-mirror","UPDATE","Allura Mirror","<p>Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that<br>enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of<br>the nightstand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black<br>finish of the collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>50""W x 3""D x 46""H</p>","HomeElegance","mirrors","color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:48:01-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:48:01-05:00","global","","https://www.jenniferfurniture.com/products/allura-mirror","7","true","32965256642650","31408369336410","MERGE","Title","Default Title","","","","","1","1916-6-MI","","","3.0","g","199.99","399.99","","true","","","deny","manual","true","",""
"4417458896986","allura-bedroom-set","UPDATE","Allura BedRoom Set","<p>Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that<br>enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of<br>the nightstand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black<br>finish of the collection.</p>
<p><strong>DIMENSIONS</strong></p>
<p>King - 84""W x 85""D x 43""H</p>
<p>Queen - 65""W x 85""D x 43""H</p>
<p>Dresser - 67<span>""W x 20""D x 40""H</span></p>
<p>Mirror- <span> </span><span>50</span><span>""W x 3""D x 46""H</span></p>
<p>Nightstands - <span> </span><span>31</span><span>""W x 18""D x 30""H</span></p>","HomeElegance","bedroom sets","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:53:38-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:53:38-05:00","global","","https://www.jenniferfurniture.com/products/allura-bedroom-set","8","true","32965333123162","31408440115290","MERGE","Size","King","Configuration","Bed + Dresser + Mirror + 2 Nightstands","","","1","1916K-1-HB 1916K21-FB 1916K-3-RA 1916-5-DR 1916-6-MI  1916-4-NT*2","","","3.0","g","2399.99","3399.99","","true","","","deny","manual","true","",""
"4417458896986","allura-bedroom-set","UPDATE","Allura BedRoom Set","","HomeElegance","bedroom sets","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-25T23:53:38-05:00","2020-01-18T04:04:06-05:00","true","2019-11-25T23:53:38-05:00","global","","https://www.jenniferfurniture.com/products/allura-bedroom-set","9","","32965333155930","31408440148058","MERGE","Size","Queen","Configuration","Bed + Dresser + Mirror + 2 Nightstands","","","2","1916-1-BH 1916-2-FB 1916-3-RA 1916-5-DR 1916-6-MI  1916-4-NT*2","","","3.0","g","2199.99","3199.99","","true","","","deny","manual","true","",""
"4417475346522","ingrando-bed","UPDATE","Ingrando Bed","<p>Reflecting the modern aesthetic that defines your lifestyle, the Ingrando Collection provides a unique platform to create<br>the bedroom of your dreams. Walnut veneer is highlighted by the walnut finish, providing rich coloring to the distinct<br>pattern of the wood’s grain. The headboard is illuminated by a LED backed panel and mirror accent that defines the center<br>profile. Creating additional space to store your personal belongings, beyond the traditional case pieces, is the dual drawer<br>footboard. Horizontal-mounted bronze finish hardware is centered on each drawer front</p>
<p><strong>DIMENSIONS</strong></p>
<p>King - 84""W x 85""D x 43""H</p>
<p>Queen - 65""W x 85""D x 43""H</p>","HomeElegance","beds","color-brown, color-white, EXCLUSIVE, Exclusive_Neha_10, material-metal, material-wood, size-full, size-king, size-queen, style-modern, style-retro, under-1000, under-1500, under-2000","REPLACE","2019-11-26T00:00:29-05:00","2020-01-18T04:04:06-05:00","true","2019-11-26T00:00:29-05:00","global","","https://www.jenniferfurniture.com/products/ingrando-bed","10","true","32965430345818","31408527179866","MERGE","Size","King","Color","Brown","","","1","1778k-1-HB 1778k-2-FB 1778k-3-RB","","","3.0","g","1499.99","1799.99","","true","","","deny","manual","true","",""
