KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
AD-620 1014	andes-rug	Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	9'6"	13'	0.25	40	Double-Sided, Soft Cotton Chenile Yarn	340	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 23	andes-rug	Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	2'	3'	0.25	3	Double-Sided, Soft Cotton Chenile Yarn	15	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 2610	andes-rug	Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	2'6"	10'	0.25	10	Double-Sided, Soft Cotton Chenile Yarn	60	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 46	andes-rug	Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	3'6"	5'6"	0.25	9	Double-Sided, Soft Cotton Chenile Yarn	45	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 69	andes-rug	Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	5'6"	8'6"	0.25	19	Double-Sided, Soft Cotton Chenile Yarn	110	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 810	andes-rug	Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	7'6"	9'6"	0.25	26	Double-Sided, Soft Cotton Chenile Yarn	170	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 912	andes-rug	Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	8'6"	11'6"	0.25	29	Double-Sided, Soft Cotton Chenile Yarn	230	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-621 1014	andes-rug	Rug	n/a	Canyon Granite	Cotton Chenille	Lori-Loom Weave	9'6"	13'	0.25	40	Double-Sided, Soft Cotton Chenile Yarn	340	http://kalaty.com/productimages/large/AD-621-rectangle.jpg	n/a
AD-621 23	andes-rug	Rug	n/a	Canyon Granite	Cotton Chenille	Lori-Loom Weave	2'	3'	0.25	3	Double-Sided, Soft Cotton Chenile Yarn	15	http://kalaty.com/productimages/large/AD-621-rectangle.jpg	n/a
AD-621 2610	andes-rug	Rug	n/a	Canyon Granite	Cotton Chenille	Lori-Loom Weave	2'6"	10'	0.25	10	Double-Sided, Soft Cotton Chenile Yarn	60	http://kalaty.com/productimages/large/AD-621-rectangle.jpg	n/a
