KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
SU-100 1215	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	12'	15'	0.5	126	Double-Sided	2430	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 1218	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	12'	18'	0.5	149	Double-Sided	2920	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 23	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	2'	3'	0.5	5	Double-Sided	70	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 35	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	3'	5'	0.5	11	Double-Sided	170	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 46	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	4'	6'	0.5	17	Double-Sided	260	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 69	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	6'	9'	0.5	38	Double-Sided	590	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 R10	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	10' Round	n/a	0.5	68	Double-Sided	1100	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 S10	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	10' Square	n/a	0.5	68	Double-Sided	1100	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-100 S6	soumak-rug	Rug	n/a	Sampl	Wool	Soumak	6' Square	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-100.jpg	n/a
SU-110 69	soumak-rug	Rug	n/a	Plmgld	Wool	Soumak	6'	9'	0.5	38	Double-Sided	590	http://kalaty.com/productimages/large/SU-110 NP.jpg	n/a
SU-110 S6	soumak-rug	Rug	n/a	Plmgld	Wool	Soumak	6' Square	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-110 NP.jpg	n/a
SU-114 1014	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	10'	14'	0.5	98	Double-Sided	1540	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 1215	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	12'	15'	0.5	126	Double-Sided	2430	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 1218	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	12'	18'	0.5	149	Double-Sided	2920	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 23	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	2'	3'	0.5	5	Double-Sided	70	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 2610	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	2'6"	10'	0.5	18	Double-Sided	280	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 2612	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	2'6"	12'	0.5	21	Double-Sided	330	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 268	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	2'6"	8'	0.5	14	Double-Sided	220	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 35	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	3'	5'	0.5	11	Double-Sided	170	http://kalaty.com/productimages/large/SU-114.jpg	n/a
