KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
CM-146 1014	camilla-rug	Rug	n/a	Denim/Grey	Silkette/Polyester	Power Loom	9'6"	13'	0.5	68	n/a	450	https://www.dropbox.com/s/pbmg4yqrimth8p2/CM-146.jpg?dl=0	n/a
CM-146 23	camilla-rug	Rug	n/a	Denim/Grey	Silkette/Polyester	Power Loom	2'	3'	0.5	4	n/a	20	https://www.dropbox.com/s/pbmg4yqrimth8p2/CM-146.jpg?dl=0	n/a
CM-146 2610	camilla-rug	Rug	n/a	Denim/Grey	Silkette/Polyester	Power Loom	2'6"	10'	0.5	14	n/a	80	https://www.dropbox.com/s/pbmg4yqrimth8p2/CM-146.jpg?dl=0	n/a
CM-146 46	camilla-rug	Rug	n/a	Denim/Grey	Silkette/Polyester	Power Loom	3'11"	5'11"	0.5	13	n/a	70	https://www.dropbox.com/s/pbmg4yqrimth8p2/CM-146.jpg?dl=0	n/a
CM-146 58	camilla-rug	Rug	n/a	Denim/Grey	Silkette/Polyester	Power Loom	5'3"	7'6"	0.5	21	n/a	120	https://www.dropbox.com/s/pbmg4yqrimth8p2/CM-146.jpg?dl=0	n/a
CM-146 810	camilla-rug	Rug	n/a	Denim/Grey	Silkette/Polyester	Power Loom	7'9"	10'	0.5	40	n/a	230	https://www.dropbox.com/s/pbmg4yqrimth8p2/CM-146.jpg?dl=0	n/a
CM-146 912	camilla-rug	Rug	n/a	Denim/Grey	Silkette/Polyester	Power Loom	8'9"	11'10"	0.5	55	n/a	290	https://www.dropbox.com/s/pbmg4yqrimth8p2/CM-146.jpg?dl=0	n/a
CM-147 1014	camilla-rug	Rug	n/a	Naturals and Greys	Silkette/Polyester	Power Loom	9'6"	13'	0.5	68	n/a	450	https://www.dropbox.com/s/puo22qhbdx4x1nx/CM-147.jpg?dl=0	n/a
CM-147 23	camilla-rug	Rug	n/a	Naturals and Greys	Silkette/Polyester	Power Loom	2'	3'	0.5	4	n/a	20	https://www.dropbox.com/s/puo22qhbdx4x1nx/CM-147.jpg?dl=0	n/a
CM-147 2610	camilla-rug	Rug	n/a	Naturals and Greys	Silkette/Polyester	Power Loom	2'6"	10'	0.5	14	n/a	80	https://www.dropbox.com/s/puo22qhbdx4x1nx/CM-147.jpg?dl=0	n/a
CM-147 46	camilla-rug	Rug	n/a	Naturals and Greys	Silkette/Polyester	Power Loom	3'11"	5'11"	0.5	13	n/a	70	https://www.dropbox.com/s/puo22qhbdx4x1nx/CM-147.jpg?dl=0	n/a
CM-147 58	camilla-rug	Rug	n/a	Naturals and Greys	Silkette/Polyester	Power Loom	5'3"	7'6"	0.5	21	n/a	120	https://www.dropbox.com/s/puo22qhbdx4x1nx/CM-147.jpg?dl=0	n/a
CM-147 810	camilla-rug	Rug	n/a	Naturals and Greys	Silkette/Polyester	Power Loom	7'9"	10'	0.5	40	n/a	230	https://www.dropbox.com/s/puo22qhbdx4x1nx/CM-147.jpg?dl=0	n/a
CM-147 912	camilla-rug	Rug	n/a	Naturals and Greys	Silkette/Polyester	Power Loom	8'9"	11'10"	0.5	55	n/a	290	https://www.dropbox.com/s/puo22qhbdx4x1nx/CM-147.jpg?dl=0	n/a
CM-148 1014	camilla-rug	Rug	n/a	Granite Earth	Silkette/Polyester	Power Loom	9'6"	13'	0.5	68	n/a	450	https://www.dropbox.com/s/um8wsbsjwupay7a/CM-148.jpg?dl=0	n/a
CM-148 23	camilla-rug	Rug	n/a	Granite Earth	Silkette/Polyester	Power Loom	2'	3'	0.5	4	n/a	20	https://www.dropbox.com/s/um8wsbsjwupay7a/CM-148.jpg?dl=0	n/a
