KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
PB-071 1422	bespoke-pillow-rug	Rug	n/a	White / Ebony	Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-071_1495557154.jpg	n/a
PB-071 2222	bespoke-pillow-rug	Rug	n/a	White / Ebony	Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-071_1495557154.jpg	n/a
PB-072 1422	bespoke-pillow-rug	Rug	n/a	Multi Beige/Blue	Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-072_1495557477.jpg	n/a
PB-072 2222	bespoke-pillow-rug	Rug	n/a	Multi Beige/Blue	Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-072_1495557477.jpg	n/a
PB-073 1422	bespoke-pillow-rug	Rug	n/a	Multi	Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-073_1495556954.jpg	n/a
PB-073 2222	bespoke-pillow-rug	Rug	n/a	Multi	Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-073_1495556954.jpg	n/a
PB-078 1422	bespoke-pillow-rug	Rug	n/a	Multi Blue / Scarlet	Silkette™ 	Tibetan Weave	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-078_1489595845.jpg	n/a
PB-078 2222	bespoke-pillow-rug	Rug	n/a	Multi Blue / Scarlet	Silkette™ 	Tibetan Weave	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-078_1489595845.jpg	n/a
PB-130 1422	bespoke-pillow-rug	Rug	n/a	n/a	100% Wool Pile	Hand Knotted	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-130_1514992190.jpg	n/a
PB-130 2222	bespoke-pillow-rug	Rug	n/a	n/a	100% Wool Pile	Hand Knotted	22" 22"	n/a	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-130_1514992190.jpg	n/a
