Catalog Year	Catalog Page	 Item#	D E S C R I P T I O N	2022   EAST PETE PRICE 	1SET/#CTN	#PC/CTN	Ctn GW (lbs)	Carton CUFT	Collection Name
2022	308	BD00615Q	QUEEEN BED	 $ 446.60 	2		143	15.8	Celerina
2022	308	BD00616	TWIN LOFT BED	 $ 570.90 		1	132	12.01	Celerina
2022	1255	00118	COMPUTER DESK	 $ 77.00 		1	36	3.48	Vincent
2022	969	00626	RECLINER (MOTION)	 $ 246.40 		1	72	15.5	Arcadia
2022	969	00634	GLIDER RECLINER (MOTION)	 $ 277.20 		1	77	17.76	Arcadia
2022	339	02020	ESPRESSO BUNK BED (KD)	 $ 489.50 	2		144	17.15	Jason
2022	389	02052BK	TWIN XL/QUEEN BUNK BED	 $ 409.20 		1	110	20.02	Tritan
2022	977	02172BK	ADJUSTABLE SOFA FRAME	 $ 148.50 		1	53	4.63	Alfonso
2022	1480	02241	WARDROBE	 $ 194.70 		1	144	6.33	Yorktown
2022	345	02556	TRUNDLE (TWIN)	 $ 135.30 		1	50	3.01	Heartland
