Catalog Year	Catalog Page	 Item#	D E S C R I P T I O N	2022   EAST PETE PRICE 	1SET/#CTN	#PC/CTN	Ctn GW (lbs)	Carton CUFT	Collection Name
2022	1255	00118	COMPUTER DESK	 $ 77.00 		1	36	3.48	Vincent
2022	969	00626	RECLINER (MOTION)	 $ 246.40 		1	72	15.5	Arcadia
2022	969	00627	RECLINER (MOTION)	 $ 246.40 		1	72	15.5	Arcadia
2022	969	00630	RECLINER (MOTION)	 $ 246.40 		1	72	15.5	Arcadia
2022	969	00632W	RECLINER (MOTION)	 $ 246.40 		1	83	13.45	Arcadia
2022	969	00634	GLIDER RECLINER (MOTION)	 $ 277.20 		1	77	17.76	Arcadia
2022	969	00635	GLIDER RECLINER (MOTION)	 $ 277.20 		1	77	17.76	Arcadia
2022	968	00700	RECLINER (MOTION)	 $ 278.30 		1	71	17.76	Arcadia
2022	968	00701	RECLINER (MOTION)	 $ 278.30 		1	71	17.76	Arcadia
2022	968	00702	RECLINER (MOTION)	 $ 278.30 		1	71	17.76	Arcadia
2022	968	00703	RECLINER (MOTION)	 $ 278.30 		1	71	17.76	Arcadia
2022	339	02020	ESPRESSO BUNK BED (KD)	 $ 489.50 	2		144	17.15	Jason
2022	339	02020W	ESPRESSO BUNK BED  (KD)	 $ 489.50 	2		154	24.38	Jason
2022	389	02052BK	TWIN XL/QUEEN BUNK BED	 $ 409.20 		1	110	20.02	Tritan
2022	389	02052SI	TWIN XL/QUEEN BUNK BED	 $ 409.20 		1	110	20.02	Tritan
2022	389	02052WH	TWIN XL/QUEEN BUNK BED	 $ 409.20 		1	110	20.02	Tritan
2022	389	02053BK	TWIN/FULL BUNK BED	 $ 317.90 		1	99	15.57	Tritan
2022	389	02053BU	TWIN/FULL BUNK BED	 $ 317.90 		1	99	15.57	Tritan
2022	388	02053PU	TWIN/FULL BUNK BED	 $ 317.90 		1	99	15.57	Tritan
2022	389	02053RD	TWIN/FULL BUNK BED	 $ 317.90 		1	99	15.57	Tritan
2022	389	02053RNB	TWIN/FULL BUNK BED	 $ 317.90 		1	99	15.57	Tritan
2022	389	02053SI	TWIN/FULL BUNK BED	 $ 317.90 		1	99	15.57	Tritan
2022	389	02053WH	TWIN/FULL BUNK BED	 $ 317.90 		1	99	15.57	Tritan
