"ID","Handle","Command","Title","Vendor","Type","Tags","Tags Command","Variant Price","Variant Compare At Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value"
"4462544355418","jj-loveseat","UPDATE","JJ Loveseat","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1499.99","","shopify","0","33190198214746","31594007363674","MERGE","Title","Default Title","","","",""
"4462545535066","jj-chair","UPDATE","JJ Chair","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","899.99","","shopify","0","33190204932186","31594013294682","MERGE","Title","Default Title","","","",""
"12046535635","jj-living-set","UPDATE","JJ Living Room Set","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","3999.99","","shopify","0","16722070241370","16461154549850","MERGE","Title","Default Title","","","",""
"4504201166938","jolie-bed","UPDATE","Jolie Bed","Meridian-Dropped","DISCONTINUED","color-pink, style-contemporary, style-modern, under-1500, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1499.99","","shopify","0","33368981569626","31731755974746","MERGE","Bed Size","King","","","",""
"4504201166938","jolie-bed","UPDATE","Jolie Bed","Meridian-Dropped","DISCONTINUED","color-pink, style-contemporary, style-modern, under-1500, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1399.99","","shopify","0","33368981602394","31731756007514","MERGE","Bed Size","Queen","","","",""
"4462562279514","carlton-occasional-table","UPDATE","Carlton Occasional Table","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","799.99","","shopify","0","33190307364954","31594103996506","MERGE","Configuration","Cocktail Table","","","",""
"4462562279514","carlton-occasional-table","UPDATE","Carlton Occasional Table","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","599.99","","shopify","0","33190307397722","31594104029274","MERGE","Configuration","End Table","","","",""
"4462562279514","carlton-occasional-table","UPDATE","Carlton Occasional Table","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","799.99","","shopify","0","33190307430490","31594104062042","MERGE","Configuration","Sofa Table","","","",""
"4462548549722","cameron-dining-set","UPDATE","Cameron Dining Set","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","3499.99","","shopify","0","33190218956890","31594025091162","MERGE","Title","Default Title","","","",""
"4462543372378","jj-sofa","UPDATE","JJ Sofa","Meridian-Dropped","DISCONTINUED","color-navy, New_2019, style-traditional, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1599.99","","shopify","0","33190192545882","31594003005530","MERGE","Title","Default Title","","","",""
