Given SKU	Given Description	Chosen Collection Name	Computed Handle
700810023-5060	BRB MINI-WATERFALL FDN	beautyrest black	
700810023-5050	BRB MINI-WATERFALL FDN	beautyrest black	
700810023-5030	BRB MINI-WATERFALL FDN	beautyrest black	
700810023-5020	BRB MINI-WATERFALL FDN	beautyrest black	
700810018-1060	BRB C-CLASS MED PT	beautyrest black	
700810018-1050	BRB C-CLASS MED PT	beautyrest black	
700810018-1030	BRB C-CLASS MED PT	beautyrest black	
700810018-1020	BRB C-CLASS MED PT	beautyrest black	
700810016-1060	BRB C-CLASS MEDIUM	beautyrest black	
700810016-1050	BRB C-CLASS MEDIUM	beautyrest black	
700810016-1030	BRB C-CLASS MEDIUM	beautyrest black	
700810016-1020	BRB C-CLASS MEDIUM	beautyrest black	
700810012-1060	BRB L-CLASS EX FM	beautyrest black	
700810012-1050	BRB L-CLASS EX FM	beautyrest black	
700810012-1030	BRB L-CLASS EX FM	beautyrest black	
700810012-1020	BRB L-CLASS EX FM	beautyrest black	
700810010-1060	BRB L-CLASS PL	beautyrest black	
700810010-1050	BRB L-CLASS PL	beautyrest black	
700810010-1030	BRB L-CLASS PL	beautyrest black	
700810010-1020	BRB L-CLASS PL	beautyrest black	
700754860-7566	Advanced Motion Adj. Base	beautyrest black	
700754860-7550	Advanced Motion Adj. Base	beautyrest black	
700754860-7520	Advanced Motion Adj. Base	beautyrest black	
